Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2003-01-27
Data Final: 2023-03-06
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);
2003-01-27;0000;null;
2003-01-27;0100;null;
2003-01-27;0200;null;
2003-01-27;0300;null;
2003-01-27;0400;null;
2003-01-27;0500;null;
2003-01-27;0600;null;
2003-01-27;0700;null;
2003-01-27;0800;null;
2003-01-27;0900;null;
2003-01-27;1000;null;
2003-01-27;1100;null;
2003-01-27;1200;null;
2003-01-27;1300;null;
2003-01-27;1400;null;
2003-01-27;1500;null;
2003-01-27;1600;null;
2003-01-27;1700;null;
2003-01-27;1800;null;
2003-01-27;1900;null;
2003-01-27;2000;null;
2003-01-27;2100;null;
2003-01-27;2200;null;
2003-01-27;2300;null;
2003-01-28;0000;null;
2003-01-28;0100;null;
2003-01-28;0200;null;
2003-01-28;0300;null;
2003-01-28;0400;null;
2003-01-28;0500;null;
2003-01-28;0600;null;
2003-01-28;0700;null;
2003-01-28;0800;null;
2003-01-28;0900;null;
2003-01-28;1000;null;
2003-01-28;1100;null;
2003-01-28;1200;null;
2003-01-28;1300;null;
2003-01-28;1400;null;
2003-01-28;1500;null;
2003-01-28;1600;null;
2003-01-28;1700;null;
2003-01-28;1800;null;
2003-01-28;1900;null;
2003-01-28;2000;null;
2003-01-28;2100;null;
2003-01-28;2200;null;
2003-01-28;2300;null;
2003-01-29;0000;null;
2003-01-29;0100;null;
2003-01-29;0200;null;
2003-01-29;0300;null;
2003-01-29;0400;null;
2003-01-29;0500;null;
2003-01-29;0600;null;
2003-01-29;0700;null;
2003-01-29;0800;null;
2003-01-29;0900;null;
2003-01-29;1000;null;
2003-01-29;1100;null;
2003-01-29;1200;null;
2003-01-29;1300;null;
2003-01-29;1400;null;
2003-01-29;1500;null;
2003-01-29;1600;null;
2003-01-29;1700;null;
2003-01-29;1800;null;
2003-01-29;1900;null;
2003-01-29;2000;null;
2003-01-29;2100;null;
2003-01-29;2200;null;
2003-01-29;2300;null;
2003-01-30;0000;null;
2003-01-30;0100;null;
2003-01-30;0200;null;
2003-01-30;0300;null;
2003-01-30;0400;null;
2003-01-30;0500;null;
2003-01-30;0600;null;
2003-01-30;0700;null;
2003-01-30;0800;null;
2003-01-30;0900;null;
2003-01-30;1000;null;
2003-01-30;1100;null;
2003-01-30;1200;null;
2003-01-30;1300;null;
2003-01-30;1400;null;
2003-01-30;1500;null;
2003-01-30;1600;null;
2003-01-30;1700;null;
2003-01-30;1800;null;
2003-01-30;1900;null;
2003-01-30;2000;null;
2003-01-30;2100;null;
2003-01-30;2200;null;
2003-01-30;2300;null;
2003-01-31;0000;null;
2003-01-31;0100;null;
2003-01-31;0200;null;
2003-01-31;0300;null;
2003-01-31;0400;null;
2003-01-31;0500;null;
2003-01-31;0600;null;
2003-01-31;0700;null;
2003-01-31;0800;null;
2003-01-31;0900;null;
2003-01-31;1000;null;
2003-01-31;1100;null;
2003-01-31;1200;null;
2003-01-31;1300;null;
2003-01-31;1400;null;
2003-01-31;1500;null;
2003-01-31;1600;null;
2003-01-31;1700;null;
2003-01-31;1800;null;
2003-01-31;1900;null;
2003-01-31;2000;null;
2003-01-31;2100;null;
2003-01-31;2200;null;
2003-01-31;2300;null;
2003-02-01;0000;null;
2003-02-01;0100;null;
2003-02-01;0200;null;
2003-02-01;0300;null;
2003-02-01;0400;null;
2003-02-01;0500;null;
2003-02-01;0600;null;
2003-02-01;0700;null;
2003-02-01;0800;null;
2003-02-01;0900;null;
2003-02-01;1000;null;
2003-02-01;1100;null;
2003-02-01;1200;null;
2003-02-01;1300;null;
2003-02-01;1400;null;
2003-02-01;1500;null;
2003-02-01;1600;null;
2003-02-01;1700;null;
2003-02-01;1800;null;
2003-02-01;1900;null;
2003-02-01;2000;null;
2003-02-01;2100;null;
2003-02-01;2200;null;
2003-02-01;2300;null;
2003-02-02;0000;null;
2003-02-02;0100;null;
2003-02-02;0200;null;
2003-02-02;0300;null;
